name,class
Roland,Guardian
Nacho,Guardian
Zoey,Guardian
Mark,Guardian
Leo,Guardian
Caro,Guardian
Tommy,Guardian
Mary,Guardian
Dany,Guardian
Carson,Guardian
Wil,Guardian
Marion,Guardian
C2 Daniela,Guardian
C2 Tommy,Guardian
Daisy,Seeker
Harvey,Seeker
Rex,Seeker
Minh,Seeker
Urs,Seeker
Joe,Seeker
Mandy,Seeker
Amy,Seeker
Norman,Seeker
Vince,Seeker
Kate,Seeker
Lucious,Seeker
Seeker Agatha,Seeker
C2 Joe,Seeker
C2 Mandy,Seeker
Skids,Rogue
Wini,Rogue
Jenny,Rogue
Sefina,Rogue
Finn,Rogue
Preston,Rogue
Tony,Rogue
Trish,Rogue
Monty,Rogue
Ky,Rogue
Alessandra,Rogue
Michael,Rogue
C2 Trish,Rogue
André,Rogue
Aggy,Mystic
Jacy,Mystic
Jim,Mystic
Akachi,Mystic
Mateo,Mystic
Diana,Mystic
Marie,Mystic
Luke,Mystic
Dexter,Mystic
Lily,Mystic
Amina,Mystic
Kohaku,Mystic
Mystic Agatha,Mystic
Gloria,Mystic
C2 Dexter,Mystic
C2 Marie,Mystic
Wendy,Survivor
Stella,Survivor
Pete & Duke,Survivor
Yorick,Survivor
Calvin,Survivor
Rita,Survivor
Patrice,Survivor
Silas,Survivor
Bob,Survivor
Darrell,Survivor
Hank,Survivor
George,Survivor
Isabella,Survivor
Miguel,Survivor
Lola,Neutral
Charlie,Neutral
