scenario,investigators
The Gathering,Daisy;Nacho
Midnight Masks,Daisy;Nacho
The Devourer Below,Daisy;Nacho
Extracurricular Activity,Pete & Duke
The House Always Wins,Pete & Duke
Miskatonic Museum,Pete & Duke
The Essex County Express,Pete & Duke
Blood on the Altar,Pete & Duke
Undimensioned and Unseen,Pete & Duke
Where Doom Awaits,Pete & Duke
Lost in Time and Space,Pete & Duke
Curtain Call,Pete & Duke
The Last King,Pete & Duke
Echoes from the Past,Pete & Duke
The Unspeakable Oath,Pete & Duke
A Phantom of Truth,Pete & Duke
The Pallid Mask,Pete & Duke
Black Stars Rise,Pete & Duke
Dim Carcosa,Pete & Duke
Dim Carcosa,Pete & Duke
Untamed Wilds,Urs
The Doom of Eztli,Urs
The Doom of Eztli,Urs
Threads of Fate,Urs
The Boundary Beyond,Urs
Heart of the Elders,Urs
City of Archives,Urs
Depths of Yoth,Urs
Shattered Eons,Urs
Witching Hour,Diana
At Death's Doorstep,Diana
The Secret Name,Diana
Wages of Sin,Diana
For the Greater Good,Diana
Union and Disillusion,Diana
In the Clutches of Chaos,Diana
Before the Black Throne,Diana
Beyond the Gates of Sleep,Tony
The Search for Kadath,Tony
Dark Side of the Moon,Tony
Where Gods Dwell,Tony
Waking Nightmare,Luke
A Thousand Shapes of Horror,Luke
No Turning Back,Luke
Weaver of the Cosmos,Luke
Pit of Despair,Trish
The Vanishing of Elina Harper,Trish
In Too Deep,Trish
Devil Reef,Trish
Horror in High Gear,Trish
A Light in the Fog,Trish
Dagon's Lair,Trish
Into the Maelstrom,Trish
Ice and Death I,Urs
Ice and Death II,Urs
Ice and Death III,Urs
Fatal Mirage,Urs
To the Forbidden Peaks,Urs
City of the Elders,Urs
The Heart of Madness I,Urs
The Heart of Madness II,Urs
Riddles in the Rain,Darrell
Dancing Mad,Darrell
Dead Heat,Darrell
Dealings in the Dark,Darrell
Dogs of War,Darrell
On Thin Ice,Darrell
Sanguine Shadows,Darrell
Shades of Suffering,Darrell
Without A Trace,Darrell
Congregation of the Keys,Darrell
The Lost Sister,Kate
Hemlock House,Kate
The Silent Heath,Kate
Thing in the Depths,Kate
Written In Rock,Kate
The Twisted Hollow,Kate
The Longest Night,Kate
Fate of the Vale,Kate
The Gathering,Pete & Duke
Midnight Masks,Pete & Duke
The Devourer Below,Pete & Duke
The Gathering,Daisy;Roland
Midnight Masks,Daisy;Roland
The Devourer Below,Daisy;Roland
Extracurricular Activity,Roland
The House Always Wins,Roland
Miskatonic Museum,Roland
The Essex County Express,Roland
Blood on the Altar,Roland
Undimensioned and Unseen,Roland
Where Doom Awaits,Roland
Lost in Time and Space,Roland
Witching Hour,Gloria
At Death's Doorstep,Gloria
The Secret Name,Gloria
Wages of Sin,Gloria
For the Greater Good,Gloria
Union and Disillusion,Gloria
In the Clutches of Chaos,Gloria
Before the Black Throne,Gloria
Curtain Call,Sefina
Curtain Call,Joe
The Last King,Joe
Echoes from the Past,Joe
The Unspeakable Oath,Joe
The Lost Sister,Caro;Dany
Hemlock House,Caro;Dany
The Silent Heath,Caro;Dany
Thing in the Depths,Caro;Dany
Written In Rock,Caro;Dany
The Twisted Hollow,Caro;Dany
The Longest Night,Caro;Dany
Fate of the Vale,Caro;Dany
Curtain Call,Stella;Dexter
The Last King,Stella;Dexter
Echoes from the Past,Stella;Dexter
The Unspeakable Oath,Stella;Dexter
A Phantom of Truth,Stella;Dexter
The Pallid Mask,Stella;Dexter
Black Stars Rise,Stella;Dexter
Dim Carcosa,Stella;Dexter
Pit of Despair,Harvey;Tony
The Vanishing of Elina Harper,Harvey;Tony
In Too Deep,Harvey;Tony
Devil Reef,Harvey;Tony
Horror in High Gear,Harvey;Tony
A Light in the Fog,Harvey;Tony
Dagon's Lair,Harvey;Tony
Into the Maelstrom,Harvey;Tony
Untamed Wilds,Urs;Ky
The Doom of Eztli,Urs;Ky
Threads of Fate,Urs;Ky
The Boundary Beyond,Urs;Ky
Heart of the Elders,Urs;Ky
City of Archives,Urs;Ky
Depths of Yoth,Urs;Ky
Shattered Eons,Urs;Ky
Untamed Wilds,Monty;Silas
The Doom of Eztli,Monty;Silas
Threads of Fate,Monty;Silas
The Boundary Beyond,Monty;Silas
Heart of the Elders,Monty;Silas
City of Archives,Monty;Silas
Ice and Death I,Wini;Mark
Ice and Death II,Wini;Mark
Ice and Death III,Wini;Mark
Fatal Mirage,Wini;Mark
To the Forbidden Peaks,Wini;Mark
City of the Elders,Wini;Mark
The Heart of Madness I,Wini;Mark
The Heart of Madness II,Wini;Mark
Beyond the Gates of Sleep,Daisy;Yorick
The Search for Kadath,Daisy;Yorick
Dark Side of the Moon,Daisy;Yorick
Where Gods Dwell,Daisy;Yorick
The Gathering,Roland;Daisy
Midnight Masks,Roland;Daisy
The Devourer Below,Roland;Daisy
Waking Nightmare,Mary;Jacy
A Thousand Shapes of Horror,Mary;Jacy
No Turning Back,Mary;Jacy
Weaver of the Cosmos,Mary;Jacy
